gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000000766	157.8792	0.01622212	0.07579405	0.4106616	1
ENSMUSG00000000776	76.67427	-0.008255942	0.07287748	0.7482787	1
ENSMUSG00000000782	33.1218	-0.001530187	0.07644621	0.9274732	1
ENSMUSG00000000787	1972.046	-0.02377358	0.07138461	0.4100174	1
ENSMUSG00000000791	3.774701	-0.002279927	0.07852808	0.7108149	1
ENSMUSG00000000792	32.95848	-0.004317384	0.0776142	0.7211771	1
ENSMUSG00000000794	578.4088	0.02423423	0.06954655	0.4364531	1
ENSMUSG00000000804	1185.352	0.07454358	0.06027006	0.05326021	1
ENSMUSG00000000805	31.62726	-0.04816219	0.0824239	0.00278049	0.575166
ENSMUSG00000000811	18.77937	-0.01375164	0.07708816	0.368878	1
ENSMUSG00000000817	1.023547	-0.004053276	0.08262064	0.1587361	1
ENSMUSG00000000823	588.6465	0.00248465	0.06323	0.9443579	1
ENSMUSG00000000826	2252.82	-0.02681585	0.06363137	0.4538126	1
ENSMUSG00000000827	284.5211	0.02127975	0.06816253	0.511462	1
ENSMUSG00000000838	422.1272	0.01048105	0.06937933	0.7335955	1
ENSMUSG00000000861	552.4992	0.02865187	0.07573655	0.18143	1
ENSMUSG00000000869	0.3285422	0	0.08222491	1	1
ENSMUSG00000000876	58.16611	-0.009847116	0.07463895	0.657211	1
ENSMUSG00000000881	1030.838	-0.03785715	0.06522628	0.2842119	1
ENSMUSG00000000884	20.68352	0.001227011	0.0768038	0.9369552	1
ENSMUSG00000000889	0.4814151	-0.000399022	0.08110283	0.8225642	1
ENSMUSG00000000901	10.12486	-0.001277392	0.07760915	0.9152732	1
ENSMUSG00000000902	352.0886	-0.01473442	0.07021897	0.6224588	1
ENSMUSG00000000903	0.3889205	0.0009536352	0.08402695	0.5514285	1
ENSMUSG00000000915	551.3869	-0.0387578	0.06871456	0.238171	1
ENSMUSG00000000916	62.12368	0.0009347958	0.07373598	0.9688609	1
ENSMUSG00000000934	67.52675	-0.03080766	0.07612489	0.139665	1
ENSMUSG00000000938	0.06348594	-0.0001837149	0.08229332	0.9064314	1
ENSMUSG00000000948	587.8019	0.04695693	0.0759707	0.05186001	1
ENSMUSG00000000957	39.74837	-0.01489612	0.07651688	0.3926459	1
ENSMUSG00000000958	6.232701	-0.008261146	0.07807826	0.4095352	1
ENSMUSG00000000959	210.415	-0.01881537	0.06776861	0.5648163	1
ENSMUSG00000000976	181.7186	-0.01383099	0.06995284	0.6471819	1
